site,crawl,diff
www.hvcc.edu,15,0.1
www.hws.edu,10,0.1
www.iavalley.edu,10,0.15
www.ibcs.edu,15,0.15
www.ic.edu,10,0.10
www.iccms.edu,10,0.2
www.indianatech.edu,10,0.2
www.iona.edu,10,0.1
www.iowacentral.edu,10,0.2
www.isothermal.edu,10,0.1
www.istc.edu,10,0.15
www.ithaca.edu,10,0.2
www.iwp.edu,10,0.15
www.iwu.edu,10,0.15
www.jarvis.edu,10,0.1
www.jccc.edu,10,0.1
www.jcsu.edu,10,0.15
www.jcu.edu,10,0.1
www.jeffco.edu,10,0.1
www.jeffersonstate.edu,10,0.075
www.jjc.edu,25,0.2
www.jmu.edu,10,0.2
www.jpcatholic.edu,10,0.15
www.jsums.edu,10,0.15
www.kansaschristian.edu,10,0.2
www.kcc.edu,10,0.15
www.kean.edu,10,0.15
www.kennesaw.edu,10,0.15
www.kettering.edu,10,0.10
www.king.edu,30,0.1
www.kirkwood.edu,10,0.1
www.kstate.edu,10,0.15
www.kutztown.edu,10,0.15
www.kwu.edu,10,0.05
www.lafayette.edu,10,0.1
www.lafilm.edu,20,0.075
www.lakeareatech.edu,10,0.1
www.lakeforest.edu,10,0.2
www.lakeland.edu,20,0.075
www.lakemichigancollege.edu,10,0.075
www.langston.edu,10,0.15
www.laredo.edu,10,0.15
www.laverne.edu,10,0.1
www.lawrence.edu,10,0.1
www.lawsonstate.edu,10,0.2
www.lc.edu,10,0.15
www.lccc.edu,10,0.15
www.lenoircc.edu,10,0.1
www.lifepacific.edu,3,0.075
www.limcollege.edu,20,0.075
www.lindenwood.edu,5,0.075
www.linnbenton.edu,10,0.1
www.lit.edu,10,0.09
www.livingartscollege.edu,10,0.15
www.logan.edu,10,0.15
www.lonestar.edu,10,0.15
www.longwood.edu,10,0.1
www.loyola.edu,10,0.2
www.lssu.edu,10,0.15
www.lsu.edu,5,0.075
www.lsue.edu,10,0.1
www.lsuhsc.edu,30,0.075
www.ltcc.edu,10,0.15
www.luther.edu,10,0.15
www.lutherrice.edu,10,0.075
www.lwtech.edu,10,0.1
www.lyon.edu,10,0.15
www.macomb.edu,10,0.15
www.macu.edu,10,0.15
www.macuniversity.edu,10,0.15
www.madisoncollege.edu,10,0.15
www.manateetech.edu,10,0.15
www.manchester.edu,10,0.05
www.manor.edu,10,0.1
www.mariacollege.edu,10,0.1
www.marist.edu,10,0.1
www.maritime.edu,10,0.15
www.marybaldwin.edu,10,0.15
www.massbay.edu,10,0.15
www.masters.edu,10,0.15
www.matc.edu,10,0.15
www.mbl.edu,10,0.15
www.mbts.edu,10,0.15
www.mc3.edu,10,0.15
www.mcdaniel.edu,10,0.15
www.mchs.edu,10,0.15
www.mercy.edu,10,0.15
www.mercyhurst.edu,10,0.15
www.miami.edu,10,0.05
www.miamioh.edu,10,0.2
www.midmich.edu,10,0.1
www.midwestern.edu,10,0.1
www.mildredelley.edu,15,0.05
www.miles.edu,10,0.2
www.millsaps.edu,10,0.10
www.missio.edu,10,0.1
www.missouristate.edu,10,0.2
www.mnstate.edu,10,0.2
www.mohave.edu,10,0.2
www.monmouth.edu,10,0.2
www.monroecollege.edu,10,0.1
www.montclair.edu,10,0.15
www.moreheadstate.edu,10,0.1
www.morehouse.edu,10,0.1
www.mountunion.edu,10,0.1
www.msudenver.edu,10,0.15
www.mtc.edu,10,0.2
www.mtholyoke.edu,10,0.2
www.mtmary.edu,60,0.05
www.muhlenberg.edu,15,0.05
www.mville.edu,10,0.025
www.mvnu.edu,3,0.05
www.mxschool.edu,10,0.1
www.mybrcc.edu,10,0.15
www.nashcc.edu,10,0.10
www.necmusic.edu,10,0.10
www.neiu.edu,25,0.1
www.nemcc.edu,10,0.15
www.newberry.edu,10,0.1
www.newmanu.edu,10,0.15
